task,task_label,prompt_version,participant_structure_blocks,reference_fidelity,visual_quality,progress_auc,intent_conflict_rate,destructive_overwrite_rate,posts_per_100_turns,generation_cost_usd,canonical_color_iou_repeatability,technical_failure_rate,pooled_repair_rate
competing,Four-team shared-canvas competition,V1,3,0.7605084183027332,0.7223958333333333,0.6752113853271059,0.04157521254089164,0.09372442413750416,1.2769875524782752,0.80927198143902,0.5893661193419201,0.06666666666666665,0.8180525941719972
competing,Four-team shared-canvas competition,V2,3,0.7532712503346033,0.7239583333333334,0.6590204720186184,0.05114272636410583,0.10741715075737515,2.025630703166935,0.852647071649175,0.5511244364980332,0.1333333333333333,0.6941917424772568
competing,Four-team shared-canvas competition,V3,3,0.7990429550821581,0.8177083333333334,0.7105374046307031,0.024938772512963187,0.033326675204537595,5.934130238324633,0.793880120085525,0.6300617380922966,0.1333333333333333,0.742603550295858
single,Single-team shared image,V1,8,0.8818445082495966,0.721875,0.6891635699998572,0.011292917991053768,0.020938917016290946,0.9682715658325415,0.06964176249236251,0.73676818713686,0.0,0.631578947368421
single,Single-team shared image,V2,8,0.8635258348717493,0.678125,0.6862563466235384,0.01115820930532337,0.02026319696690497,2.7828308171651566,0.044522131151025,0.7284912658557281,0.0,0.5904761904761905
single,Single-team shared image,V3,8,0.8927504072259355,0.771875,0.7093101259177422,0.005910065842226835,0.00971089813052666,5.908064989322231,0.039716593439242505,0.772855197791157,0.0,0.4897959183673469
